,country,count,lat,log
0,Afghanistan,16,33.0,65.0
1,"Ajaccio,France",2,41.9167,8.73333
2,Angola,60,-14.1333,14.5
3,"Ankara,Turkey",2,39.9272,32.8644
4,Antarctica,2,-90.0,0.0
5,Argentina,6,-34.0,-64.0
6,Armenia,4,40.0,45.0
7,"Athens,Greece",6,37.9833,23.7333
8,Australia,20,-27.0,133.0
9,"Beijing,China",4,39.8825,123.912
10,"Beirut,Lebanon",10,33.8719,35.5097
11,Belgium,2,50.8333,4.0
12,Bolivia,4,-17.0,-65.0
13,Brazil,4,-10.0,-55.0
14,"Brighton,United States",2,33.4342,-86.9472
15,Bulgaria,2,43.0,25.0
16,"California,United States",2,33.9189,-84.7458
17,Cambodia,4,13.0,105.0
18,Canada,32,60.0,-95.0
19,Cape Verde,2,16.0,-24.0
20,Chile,2,-30.0,-71.0
21,China,40,35.0,105.0
22,"Christchurch,New Zealand",4,-43.5333,172.633
23,Colombia,3,4.0,-72.0
24,Croatia,2,45.1667,15.5
25,Cuba,13,21.5,-80.0
26,Denmark,6,56.0,10.0
27,"Dublin,Ireland",2,53.3331,-6.24889
28,"Edinburgh,Scotland",2,55.95,-3.2
29,Egypt,24,27.0,30.0
30,England,62,54.0,-2.0
31,Ethiopia,2,8.0,38.0
32,Finland,2,64.0,26.0
33,France,26,44.6333,0.45
34,Georgia,4,42.0,43.5
35,Germany,36,51.0,9.0
36,Great Britain,8,54.0,-2.0
37,Greece,4,39.0,22.0
38,"Houston,United States",2,34.1414,-87.2581
39,Hungary,4,47.0,20.0
40,India,22,20.0,77.0
41,Indonesia,2,-5.0,120.0
42,Iran,16,32.0,53.0
43,Iraq,30,33.0,44.0
44,Ireland,18,53.0,-8.0
45,Israel,16,31.5,34.75
46,Italy,28,42.8333,12.8333
47,Jamaica,2,18.25,-77.5
48,Japan,18,36.0,138.0
49,Jordan,4,31.0,36.0
50,"Kabul,Afghanistan",2,34.5167,69.1833
51,"Karachi,Pakistan",2,24.8667,67.05
52,"Kolkata,India",2,22.5697,88.3697
53,"Kos,Greece",2,36.8933,27.2889
54,"Kos,Pakistan",2,30.2233,67.5772
55,"Kos,Turkey",2,39.0,40.65
56,Kyrgyzstan,2,41.0,75.0
57,Laos,2,18.0,105.0
58,Lebanon,18,33.8333,35.8333
59,"Leeds,Scotland",2,53.8,-1.58333
60,Libya,2,25.0,17.0
61,"London,England",8,51.5,-0.116667
62,Mali,6,17.0,-4.0
63,Mauritania,2,20.0,-12.0
64,Mexico,7,15.5833,-92.4667
65,Montenegro,2,42.0,19.0
66,Morocco,2,32.0,-5.0
67,Mozambique,8,-18.25,35.0
68,Namibia,20,-22.0,17.0
69,Nepal,4,28.0,84.0
70,Netherlands,6,52.5,5.75
71,New Zealand,28,-41.0,174.0
72,Nicaragua,2,13.0,-85.0
73,Niger,2,16.0,8.0
74,Nigeria,6,5.71667,5.78333
75,North Korea,4,40.0,127.0
76,Norway,8,62.0,10.0
77,"Ohio,United States",2,38.5667,-106.611
78,"Ottawa,Canada",6,45.4167,-75.7
79,Pakistan,2,30.0,70.0
80,"Pamplona,Spain",2,42.8167,-1.63333
81,Peru,2,-10.0,-76.0
82,Poland,8,52.0,20.0
83,Puerto Rico,4,18.25,-66.5
84,Romania,2,46.0,25.0
85,"Rome,Italy",4,41.9,12.4833
86,Russia,16,60.0,100.0
87,"Salvador,Colombia",2,9.17333,-74.1728
88,Saudi Arabia,4,25.0,45.0
89,Scotland,12,54.0,-2.0
90,Sierra Leone,2,8.5,-11.5
91,Singapore,2,1.3667,103.8
92,South Africa,36,-29.0,24.0
93,South Korea,4,37.0,127.5
94,"Southwark,Wales",2,51.5,-0.083333
95,Spain,24,40.0,-4.0
96,Sudan,2,15.0,30.0
97,Suriname,2,4.0,-56.0
98,Sweden,12,62.0,15.0
99,Switzerland,8,47.0,8.0
100,Thailand,6,15.0,100.0
101,"Toronto,Canada",4,43.6667,-79.4167
102,Tunisia,2,34.0,9.0
103,"Turin,Italy",4,45.05,7.66667
104,Turkey,34,39.0,35.0
105,United States,28,33.6156,-81.1022
106,Wales,4,54.0,-2.0
107,"Wigtown,Scotland",2,54.8667,-4.45
108,Yemen,2,15.0,48.0
109,"York,England",2,53.9667,-1.08333
110,Zambia,2,-15.0,30.0
111,Zimbabwe,2,-20.0,30.0
